,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
ZNF557,345,401
CRB3,635,36
OLFM1,5150,1832
CAMSAP1,3606,2389
UBAC1,2037,1752
SAG,2,1
ZBTB46,386,506
HELZ2,7208,1358
SAMD10,969,139
LSP1,880,3521
TNNT3,4,1659
TNNI2,226,38
COL5A1,39684,7765
ATXN10,6975,5104
TUBGCP2,5296,3400
CALY,2,0
CYP2E1,585,33
PNPLA7,72,1801
HBZ,0,0
PAK4,13008,811
MNX1,30,6
ZNF337,132,142
CEP85,1831,319
TAF4,1523,972
GATA5,392,1
RBBP8NL,835,18
LAMA5,12535,4281
OSBPL2,7096,2741
ADRM1,4962,1191
ASS1,9638,20328
PRDM12,7,2
EXOSC2,1136,899
POMT1,982,1484
UCK1,1078,2279
FIBCD1,93,8
PRRC2B,8878,10643
CHMP2A,7863,4961
UBE2M,5999,1895
TRIM28,33074,7352
YIPF2,2887,1003
ATG4D,420,293
EIF2S3,20815,17066
TMEM160,518,86
ZC3H4,3496,2150
NPAS1,32,11
GMFG,380,1288
MAP3K10,1219,380
ARHGEF16,1847,490
LRRC47,3185,2626
SESN2,1297,973
MED18,469,671
THEMIS2,1169,705
CLIP1,5043,7742
CCDC62,12,17
HIP1R,5259,1007
ZNF317,1284,1600
PPAN,269,53
EIF3G,6201,5221
ANGPTL6,13,5
DNMT1,12876,1812
SLC6A8,8009,4150
PNCK,201,18
DKC1,8680,2033
PLXNA3,4162,2139
DUSP9,862,5
MPP1,710,2190
ZNF331,2010,1292
ZNF236,579,926
SLC7A10,17,5636
LRP3,4601,3220
NOL11,5501,2257
UBE4B,6229,4857
CASZ1,1751,433
PKDREJ,6,66
HSD17B3,0,0
NUTM2F,1,0
HABP4,555,1530
FBP2,5,1
SLC35D2,154,153
PRRG1,837,1010
UBA1,29470,16550
RGN,116,872
POLN,13,147
PPIL4,1132,1593
ULBP2,117,11
AKAP12,1477,25264
SYNE1,1694,10109
ULBP3,439,104
LATS1,1346,3007
EPS8L1,2511,154
LILRB2,100,278
TTLL9,13,22
BPIFA2,0,0
RBM39,9815,9878
COX4I2,113,239
BPIFA3,0,0
ZNF341,968,207
DEFB118,0,5
ACSS2,2957,17053
EDA2R,133,342
ARHGEF9,2230,1716
C1QL1,44,6
GFAP,7,129
PYY,8,0
HIGD1B,43,134
ZNF227,541,460
ZNF428,750,174
ZNF141,491,849
CCL25,2,0
EMC8,1260,866
GSE1,5847,11103
GINS2,630,86
CHMP1A,6622,3482
SH3BGRL,5419,9850
COX7B,5995,4414
SLC34A1,0,1
F12,149,13
PRR7,340,22
IDO1,115,108
GJA9,3,2
CAP1,25329,17457
PPT1,15527,8970
RAB11FIP4,3101,314
RLIM,5277,3768
CDX4,0,0
ABCB7,1695,1978
TRAF3,1840,1794
HAUS8,511,202
ADGRE3,5,6
MRPS25,1040,1397
SH3BP5,448,1152
TBC1D5,1853,6062
CAPN7,1618,3129
RFTN1,2278,5787
C3orf20,4,3
RBSN,1549,3548
GALNT15,210,8823
SLC6A6,3899,1903
KCNC3,2935,154
NR1H2,5839,3177
LRRC4B,40,65
PDLIM4,990,992
KIF3A,583,518
MGAT1,7339,9913
GFPT2,757,2260
TUBG1,6921,1063
PSME3,28280,4421
RPL27,62069,26904
PSMC3IP,830,140
AOC3,1736,69187
ACLY,32265,7324
VPS25,7672,1773
RAMP2,577,3662
ANKHD1,66,52
NDFIP1,5562,13803
UBE2D2,10626,3809
EXOC4,7730,5571
ACAP3,3036,1138
C1orf159,954,203
ANO1,3101,4583
PPFIA1,2242,3370
TMEM204,855,1570
KREMEN2,64,2
THOC6,2721,435
TRAF7,6532,2431
NINJ1,2499,3892
CA6,0,8
NPHP4,892,449
MAP1B,2690,8653
RHOXF2,0,0
IL13RA1,8541,11932
WDR44,783,1392
CKMT2,37,1219
ZCCHC9,408,1026
KRT34,2,0
KRT33B,0,0
TNS4,6639,947
TOP2A,15866,443
STARD3,3262,1515
PPP1R1B,3230,11788
KHDRBS3,3561,968
CHD1L,45,11
PEX11B,1155,1355
FMO5,84,527
PIAS3,2516,1596
PRKAB2,2370,2546
FSHB,0,0
PDHA1,6394,6769
RAI2,192,3517
MCCC2,2456,6381
ZNF304,1099,924
ZSCAN5A,389,124
ZNF132,134,396
USP29,0,0
CHSY1,5164,2258
SNRPA1,2319,784
LLGL1,2866,1713
NR0B2,0,0
LIN28A,1,28
THAP1,357,570
RHPN2,7343,342
C19orf12,2077,5773
FAAP24,591,167
ABHD12B,16,129
GCH1,536,292
LGALS3,11441,22272
PODNL1,464,53
DNAJB1,6887,12166
ZSWIM4,1021,78
FBXW9,476,175
RFX1,975,704
ZNF20,21,9
DCAF15,1135,671
CC2D1A,1771,1333
RTBDN,0,3
MATN3,181,98
TRIM21,672,1109
SPATA6,315,1059
CCT6B,110,124
DHX30,6193,3096
RAF1,1960,2337
SLC6A11,960,15
PPARG,390,15174
NUP210,3738,559
FCRLA,10,10
HSD17B7,560,197
ENOSF1,1185,1508
EMILIN2,545,3424
SLX1A,0,0
ARFIP2,2146,1859
TRIM5,1020,995
CNGA4,9,9
TRIM22,2076,4445
RRP8,876,979
TIMM10B,1090,1904
EFR3A,6991,4960
HHLA1,1,0
PTCD3,4512,3615
IMMT,7336,5556
MRPL35,2062,2464
IQCA1,233,113
PER2,1102,2325
RAMP1,318,25
SCLY,70,37
PTPRE,1139,1031
PRKAA1,4295,4870
CARD6,1077,1530
RAP1GAP2,1507,458
CLUH,7760,4874
INPP5K,2407,5675
MYBBP1A,4569,1938
RPA1,7476,6414
SERPINF1,2875,48786
UBE2G1,3908,2898
EEFSEC,1223,813
TBC1D14,1084,1872
TMEM128,469,1228
COQ3,391,529
POPDC3,73,112
SEC61G,7574,1691
FIGNL1,1300,611
FTHL17,0,0
GRSF1,6270,6346
ENAM,0,2
JCHAIN,149,18516
ANKRD17,6949,7003
UTP3,1194,1475
ITGB4,30733,6419
WBP2,19692,9437
UNK,2322,972
TRIM47,14226,1155
ZRANB2,2708,4374
EIF5A,27251,6678
KDM6B,6240,1603
CLEC10A,3,690
SLC52A1,51,20
GUCY2D,20,12
GPS2,7,17
XAF1,374,632
DLG4,672,615
VPS13B,3221,3906
RGS22,5,775
REEP2,102,253
PCBD2,375,897
SDF2,4937,1750
FLOT2,7164,6171
ERAL1,2041,1779
PRMT7,1111,1743
NIP7,1456,1015
TERF2,1353,1695
VPS4A,2601,2692
ANKEF1,1400,1002
SCP2D1,0,0
PCED1A,741,1248
SNAP25,24,15
BTBD3,6658,1388
NXT1,1866,391
POLR3F,881,812
RIN2,4399,4326
SSTR4,0,0
DAP3,14855,5094
ATP1A4,1,26
NES,36620,6708
CRP,0,3
ARHGEF11,5720,3978
RAB25,17550,486
HAPLN2,2,10
APCS,0,0
FCRL2,1,10
DCAF8,2509,3015
SYT11,953,1611
IGHMBP2,693,639
ACY3,28,27
ALDH3B2,1371,1120
MMACHC,825,531
DPH2,2957,615
TOE1,648,377
NASP,8445,3778
MUTYH,35,15
CTNNBL1,3814,2527
LPIN3,972,921
ZSWIM3,311,242
RBM38,3452,561
VSTM2L,1065,34
OSER1,2509,2010
SERINC3,8235,20308
PPP1R3D,639,758
DMGDH,29,1390
BHMT2,135,4821
AP3B1,2731,3910
ZBED3,260,2048
KANK4,1316,2123
ANGPTL3,9,1
SYT4,2,8
SLC14A2,3,400
FBXO44,632,679
CASP9,450,530
NMUR2,4,2
DCTN4,2946,6323
PDE6A,7,10
ATP8A2,108,114
MTUS2,71,15
ZMYM5,608,966
USPL1,772,1524
XPO4,1525,2096
TPTE2,11,6
POMP,4244,4028
CDK8,1339,930
ALOX5AP,487,1028
WASF3,758,2569
RNF17,0,38
GPR12,543,102
CHRM3,301,136
MYH8,8,10
MYH10,6413,11832
PEMT,330,1077
SCO1,1078,2955
MPRIP,9734,15286
CHI3L1,2293,1133
MYBPH,7,1
PIK3C2B,2229,3274
DSTYK,2257,2251
CHIT1,18,60
SLC41A1,2227,3886
LGR6,91,158
TMCC2,813,169
DCLK1,191,7876
CCNA1,85,23
COG6,1418,1748
RXFP2,0,0
EPSTI1,1366,582
TRPC4,65,14
POSTN,89053,7066
RFXAP,252,333
TPT1,31800,96594
GPALPP1,772,1388
STOML3,0,5
KL,20,903
STARD13,857,3500
IRS4,1,2
MORC4,1872,3330
BEX2,815,134
RNF128,609,202
TBC1D8B,1359,777
TCEAL4,3560,4175
BEX1,8,32
FAM104A,1208,853
SLC39A11,4173,1598
EPHB2,3023,750
SRRM1,5867,4550
BTBD2,6174,3240
PRAM1,44,29
ZNF414,272,293
PDE6B,43,111
HSPBP1,3642,811
CNDP2,12619,6333
MACROD1,655,558
WDR74,1144,532
LGALS12,3,12128
RTN3,9737,31369
MYH11,3518,18343
MED10,2978,1203
PDZD2,2556,19566
MORC2,6850,1868
GSTT2B,65,32
MYO18B,0,31
SLC2A11,206,626
C1QTNF6,1220,416
FAM83F,4181,639
SEC14L4,183,2
GIMAP6,372,5704
GIMAP4,429,4921
ADCK2,1830,1136
MKRN1,10653,6435
AGAP3,6140,2679
KRBA1,1224,358
ACTR3B,1667,307
NTS,0,7
BTG1,5532,10907
C12orf29,564,878
ATP13A3,6366,6630
SFTPD,15,64
DYDC2,15,29
TMEM254,1645,1646
TMTC1,129,11260
KRAS,3036,1717
IPO8,2658,4646
SPINK5,15,78
IMPA1,916,763
LRRCC1,1755,1333
E2F5,1306,180
CA1,0,1
CCDC59,890,1277
SWAP70,2892,6261
LYVE1,61,10054
AMPD3,490,416
MICAL2,7437,1465
RRAS2,1247,2285
HSD17B4,2870,11738
ZFC3H1,1295,2548
TEX15,469,3
SARAF,5324,13625
RNF122,429,266
DUSP26,4,8
DPF2,2462,2756
MEN1,1472,1220
GSC,6,153
UNC79,20,51
NUMB,3044,4555
CATSPERB,24,56
VRTN,1,0
COX16,89,168
TTC9,1672,342
MED6,630,669
EIF2S1,3947,5147
ADAM20,2,9
LOXL2,12591,2850
ELP3,845,2811
PEBP4,5,66
ADAMDEC1,113,21
CTIF,2767,9555
MRO,39,152
MBD2,4871,8682
IER3IP1,1401,1386
MRPS36,342,1048
CCNB1,3117,242
CD180,2547,218
IRAK2,380,406
CAMK1,56,204
THUMPD3,1117,1595
VHL,2495,1596
BHLHE40,14146,4976
ARL8B,4699,6617
EDEM1,2575,3318
CNTN6,5,107
CHL1,78,6055
MEIS2,624,1214
DPH6,192,429
KATNBL1,1015,1350
EMC7,2157,3028
TRPM1,0,34
GSTM1,117,1392
PRPF38B,2612,2463
REG4,4,0
TSPAN2,1285,878
TSHB,2,1
GSTM5,80,1481
GSTM3,1113,4153
SYT6,1,17
CHIA,0,0
PSRC1,2568,120
HMGCS2,0,1841
PTPN22,53,114
SORT1,21712,21845
PTGFRN,8401,5522
LAMTOR5,3158,1817
ADAM30,0,0
NOTCH2,19334,24640
TRIM45,401,237
CEPT1,813,3185
CD101,139,32
VTCN1,25679,1122
NGF,62,42
AP4B1,593,644
NAPG,1163,1794
SPIRE1,2025,1336
PPHLN1,2679,1871
FKBP11,1024,412
ARF3,14106,7488
TMEM106C,4431,2718
SLC38A2,9975,8748
YWHAQ,46098,13265
KIDINS220,6160,8017
GRHL1,6484,863
ROCK2,4700,7445
RSAD2,2418,1364
MYCN,582,56
LPIN1,5364,10154
CMPK2,1078,512
IAH1,1651,2279
LDHA,65807,28542
SAA2,17,512
ANO3,9,1069
IL6ST,4045,42281
FST,989,1485
CFHR4,0,0
NAV1,2998,5979
CDC73,3083,3485
TIMM17A,3725,2158
CRB1,7,32
CFHR5,0,0
ERN2,0,15
RPS15A,2394,3727
RAX,1,1
GRP,108,27
RBM17,7704,4247
IL2RA,11,292
ANKRD16,857,200
ECHDC3,1704,7992
IL15RA,261,1431
CCNH,423,1844
HRH4,7,11
TMEM241,1063,549
KCTD1,1016,725
CABLES1,1602,3801
DOCK2,274,1121
EMP1,21154,32728
SOX5,44,1400
RERG,851,2580
SLCO1B1,0,0
KLRD1,32,156
KLRC1,2,24
SPX,6,11214
PRH2,5,14
LRP4,91,687
MYBPC3,2,6
DDB2,599,1476
ACP2,1873,2140
USP26,3,0
RAB33A,49,26
SOX3,0,1
RBMX2,1274,977
STK26,2546,468
FOLH1B,1,4
PIWIL4,442,235
MTNR1B,0,0
PUM1,7929,7278
SPOCD1,589,30
PHC2,8318,3910
CDCA8,3647,90
GNL2,6044,2627
AGO4,1659,1893
HOOK1,2008,454
CYP2J2,694,111
BTF3L4,3273,3014
PRPF38A,3864,2453
DSC2,13442,2356
DSG3,878,888
RNF138,1005,898
ELP2,3110,5636
DSG1,10,158
DSC3,163,1479
DSC1,9,12
DTNA,660,1076
FHOD3,747,751
TPGS2,6614,3840
DAGLA,488,307
SLC43A3,1545,1464
DHX34,3267,410
APLNR,925,3774
FADS2,7458,2483
TMEM258,2397,1382
TCN1,1110,59
C5AR2,70,137
TMEM165,4936,2764
CLOCK,2201,3333
PDGFRA,1307,10604
GGACT,549,280
COL4A2,84832,44286
CLDN10,41,44
DZIP1,740,1028
ARGLU1,3303,6658
BIVM,516,871
ERCC5,71,136
TPP2,3218,2948
CARS2,3538,2118
ARHGAP32,3467,2157
ADAMTS8,5,68
ACRV1,13,3
ETS1,7206,13338
SLC37A2,480,1032
KLB,18,7232
TMED7,2532,5515
APC,1460,3021
WDR36,1596,3084
OSTF1,1697,2344
RFK,1055,1609
UBQLN1,8367,9157
NAA35,1377,1500
C9orf40,792,411
ANXA1,12027,44137
CTSL,7346,6187
AGTPBP1,638,1641
GOLM1,8217,3094
PSAT1,3931,764
ISCA1,1587,3217
ADAM19,2165,275
HAVCR2,452,1016
CCNJL,2246,107
TAOK3,2372,2467
USP30,518,2293
SDS,156,36
MSI1,1030,36
HNF1A,9,1
FBXO21,1893,2889
TBX3,2098,2685
OASL,1201,181
HRK,130,28
RNFT2,161,57
P2RX4,1968,915
DTX1,507,3303
TRAFD1,2156,1680
DMTF1,2276,2690
OCM2,0,0
TMEM243,534,818
CCDC146,225,423
TMEM60,738,766
CD36,1063,209276
UGT2A3,0,0
CSN2,0,0
UGT2B28,1,16
PNPLA8,2158,2926
HILPDA,1851,1360
RINT1,1362,795
SRPK2,5004,3025
KCP,133,166
TES,7275,2860
MDFIC,2716,6586
MTO1,635,1167
ADGRB3,1,93
ANKRD6,450,491
HTR1B,24,8
KHDC1,74,39
CEP162,262,740
SYNCRIP,11215,8945
SNX14,1449,2611
NT5E,2587,4558
EPHA7,114,54
AKIRIN2,1695,2136
ORC3,1076,1927
LCA5,274,818
MAP3K7,2292,2738
CGA,0,7
GJA10,0,0
PRR5L,550,598
LMO2,376,2047
PHF21A,2152,2311
NAT10,3714,2445
ELF5,3555,813
PRRG4,800,517
CAPRIN1,18531,15863
DNAJC14,522,800
CD63,20566,39433
PRPH,5,7
AVIL,98,288
AMHR2,0,4
LACRT,0,2
GDF11,505,373
GLS2,3,3
ITGA7,467,26391
TESPA1,12,117
FAM186B,29,13
RDH5,8,1421
AGAP2,60,188
BLOC1S1,152,214
KRT85,0,0
CDK4,3783,2092
PPP1R1A,34,23695
TROAP,1505,21
TSPAN31,945,2396
B4GALNT1,184,105
TFCP2,2994,2394
COQ10A,80,480
FAIM2,42,247
PAN2,403,1351
KRT7,159006,4207
ZC3H10,159,414
HNRNPA1,24393,24077
ACVR1B,3393,2017
OS9,11709,12592
MIP,0,1
KCNH3,10,23
LTV1,703,606
MAP7,4431,859
CD164,9724,44328
NHSL1,2111,1010
AHI1,1364,1221
HEY2,642,284
PKIB,497,181
TAAR5,0,0
NMBR,1,4
SMPD2,659,237
MICAL1,1778,924
REPS1,3061,1646
STX11,83,2186
TEC,123,110
PRADC1,1199,1188
SEMA4F,1437,1015
CCT7,20139,9243
RAB11FIP5,5539,2731
SMYD5,3027,1211
DYSF,3000,3293
CCDC142,594,298
EMX1,5,9
KCNMB4,368,290
USP15,1942,3141
GNS,7586,29781
CPM,1055,25166
MDM2,1518,4284
KLHL36,3177,5536
BCO1,2,6
MPHOSPH6,835,588
CHST5,2,0
KIAA0513,800,970
DYNC1LI2,4557,9790
FBXL8,103,114
FHOD1,2248,1965
CCDC102A,376,291
SLC9A5,135,131
AGT,92,315
KCNK1,3960,183
URB2,1254,745
EGLN1,261,236
CAPN9,89,12
COG2,1044,1252
ABCB10,765,1328
NTPCR,3648,2472
TAF5L,1826,1195
GLUL,13454,167618
STX6,3142,1981
RGS8,1,1
RNASEL,487,1263
DHX9,13884,8937
KIAA1614,152,434
CEP350,3172,4177
NPL,317,849
PIGC,2207,1532
LAMC1,15621,58395
RC3H1,1865,3016
GPR55,28,37
SP110,807,1416
MRPL44,1149,1456
CHRND,0,0
PAX3,20,71
DOCK10,600,690
TTLL4,5647,602
USP37,558,523
HTR2B,3,236
ITM2C,8598,2392
SLC19A3,95,29955
SERPINE2,4218,1484
DNAJB2,9670,3647
WNT10A,33,19
CYP27A1,4225,2332
EIF4E2,3319,2801
ARMC9,805,481
CAB39,4166,7130
COX5B,4512,4463
REV1,1652,2162
TSGA10,99,434
EDAR,92,3
TGFBRAP1,4185,2189
GCC2,2150,2716
MRPS9,1130,678
GPR45,15,3
C2orf49,1226,1598
ANKRD36,173,199
EPC2,1488,2147
ARHGEF4,730,1640
ISCU,1887,8631
ALDH1L2,1674,1175
STAB2,24,173
USP44,4,169
SCYL2,3113,3199
CKAP4,13992,3654
PLXNC1,824,1723
PWP1,2453,3050
DRAM1,1274,1143
SLC41A2,865,1250
VILL,204,423
FLNB,58814,15533
NEK3,234,565
PCDH8,169,10
VPS36,1225,3781
RNASEH2B,851,1353
CKAP2,2222,548
THSD1,255,855
BORA,346,124
LRCH1,2292,1860
SUCLA2,1156,7438
RCBTB1,1469,1984
MED4,1115,1552
PHF11,1108,1700
COG3,1357,1566
LMO7,2091,448
SCEL,80,39
ITM2B,11561,58449
SPRY2,614,3717
NUDT15,1147,1213
EDNRB,70,3609
RCBTB2,297,1650
LCP1,24378,3561
SETDB2,431,1086
SCRN1,2298,4270
C7orf25,29,18
TNS3,14020,12554
CHST12,1193,1287
IGF2BP3,139,11
GPNMB,17743,38073
RAPGEF5,3382,2186
RAC1,22766,15778
KDELR2,33951,14043
IL6,58,51
ZDHHC4,591,1783
AOAH,41,174
BZW2,7347,1829
DGKB,6,14
TBRG4,8036,1868
DDX56,6951,2302
HUS1,995,721
NACAD,169,683
DBNL,10377,5581
CCM2,3916,2637
MYO1G,228,138
TTYH3,14654,1842
MMD2,0,0
CIDEB,0,0
TTC5,533,671
NKX2-8,4,3
NKX2-1,9,0
ZFHX2,225,199
MTHFS,17,34
ADAMTS7,1430,446
ABHD17C,1989,389
IREB2,2654,4566
ALPK3,711,6233
TM6SF1,24,201
CIB2,723,367
CALCOCO2,2862,12862
RSAD1,1209,1531
NMT1,5021,8137
MYCBPAP,13,57
SRSF1,3552,2887
VEZF1,2392,3819
CHAD,30,83
TACO1,1699,1017
TEX2,8577,4920
GH2,1,1
CSH1,0,0
LIMD2,1581,190
BRIP1,594,100
KAT7,2423,2983
RTP4,1178,220
ACTL6A,3655,1339
NDUFB5,3129,6888
MRPL47,2354,1127
TRA2B,7213,5428
SCN2A,46,180
TBR1,3,3
MARCHF7,3993,4493
ERMN,427,7
GALNT5,556,199
SCN7A,3,986
TANK,1758,2863
BLK,1,8
GATA4,1,3
SKIL,8308,2894
HLX,129,202
VPS45,3576,3083
IL10,7,26
KCTD3,3366,5036
RPS6KC1,1859,1837
IL36G,2,0
IL1RN,1134,99
IL36A,0,0
IL36RN,72,0
IL36B,18,0
IL1F10,0,0
CFC1,0,0
SMPD4,7223,2207
WDR33,4662,3660
CCDC115,2519,2453
SAP130,2994,1691
BIN1,2580,5192
IMP4,5083,2160
HS6ST1,5924,1248
UGGT1,7619,4514
GYPC,678,7680
STAM,2712,1322
GAD2,1,0
ABI1,8295,3421
YME1L1,18741,9734
DNAJC1,4412,1539
NIPSNAP3A,906,2272
LRRC8A,3966,3257
TXN,9025,3623
ODF2,3126,1291
TOR1B,1279,1177
C9orf78,2558,2627
SMC2,3030,1399
KLF4,734,2463
TOR1A,1745,2157
RALGPS1,378,462
OR13C9,0,0
ST6GALNAC4,701,661
TMOD1,204,1352
DAB2IP,3892,5090
STXBP1,971,5497
SLC2A8,505,1132
ANGPTL2,5180,26732
CDK5RAP2,3201,3905
ZFP37,154,266
SLC31A2,7,16
SLC31A1,4320,2445
TLR4,305,5328
ZNF189,981,1623
ALDOB,6,52
STX17,1693,2986
PRPF4,2055,1459
FPGS,3040,2533
BAAT,5,9
KIF12,409,195
ATP6V1G1,5171,3332
TEX10,1351,1284
GARNL3,399,489
WDR38,5,2
TSTD2,405,908
GABBR2,557,1
HEMGN,0,0
PSMB7,6046,5017
NR5A1,8,0
RABEPK,957,1135
GOLGA1,2034,1890
XPA,257,1159
NCBP1,2448,2682
ANP32B,9061,8863
OR1L4,0,0
PDCL,981,1395
RPL35,26280,13617
CTSV,3289,73
LMX1B,1106,417
ARPC5L,5707,1325
ENPP2,560,16588
DSCC1,1108,180
MYC,7904,1757
IL33,17,5081
RANBP6,906,2063
POLR1E,1610,1602
PLAA,2598,2162
IL11RA,336,1210
UBAP2,3042,1815
APTX,1235,1223
RNF38,4571,4521
TLN1,39435,56300
CCL21,6,1882
SIT1,5,44
IFNA21,15,1
DMRT1,169,3
DNAJB5,677,524
SPAG8,21,53
DCTN3,3423,1978
CD72,102,69
TMEM8B,2091,2471
GRHPR,3832,4596
HINT2,8,9
ARHGEF39,438,55
IGFBPL1,321,66
DENND4C,2030,5369
RPS6,46140,83547
CNPY3,2470,1993
FOXP4,4122,3367
PPIL1,1072,722
KLC4,614,1034
KIF13A,4195,7724
ZSCAN9,624,431
PIM1,1856,2384
GMPR,596,347
CMTR1,2278,3207
TFAP2A,4180,569
SLC22A7,1,0
YIPF3,5122,5075
TMEM14B,2873,2346
TMEM63B,2242,1433
FRS3,212,309
TJAP1,1219,1307
CAPN11,3,275
TINAG,0,0
HCRTR2,3,8
KIAA0319,6,20
IRF4,18,420
SLC22A23,1071,1046
TUBB2A,2298,1099
LRRC1,1467,652
GCM1,0,3
FOXF2,172,140
BPHL,1002,1442
RIPK1,2816,3002
TUBB2B,133,372
UQCC2,1335,719
HMGA1,9997,1133
TCF19,1303,544
FLOT1,6343,6808
IER3,1329,135
MDC1,2280,1666
PGBD1,302,331
ATAT1,651,362
TPMT,2096,887
CLPS,28,1
RNF144B,3443,1969
NRM,840,611
MTCH1,9360,10106
TAF8,677,2727
FAM8A1,1847,4997
C6orf52,40,24
FGFBP1,43,14
FHDC1,2102,393
TLR2,790,665
MGARP,1,54
TTC29,4,2
MYO7A,81,823
FCHSD2,1148,2451
ARRB1,1599,6024
SLCO2B1,542,2883
ANKRD42,337,642
IL18BP,322,574
NUMA1,6328,10739
CCDC90B,1175,2361
RAB30,953,5056
CREBZF,2023,2867
PRCP,3585,10419
NARS2,495,747
RNF121,1530,1082
MRPL15,4131,1803
PI15,57,3226
GGH,3315,496
SLCO5A1,10,5
SULF1,17304,5032
TGS1,1792,1298
SDCBP,7822,19719
NEK1,929,1743
DDX60,1739,2097
NXPE4,1,5
SORL1,2336,3281
TMPRSS4,67,3
TRPC6,123,343
MMP7,19043,2301
MMP20,239,3
MMP27,772,220
DCUN1D5,1682,1015
YAP1,5275,11014
TRIM29,10172,3117
SLC37A4,898,737
BTG4,3,3
POU2F3,78,63
RDX,6352,7752
PPP2R1B,1843,12432
FDX1,837,1118
FXYD6,149,573
ARHGAP20,43,1832
FXYD2,2,25
MMP13,444,5
TMPRSS13,3439,147
CASP1,421,1386
CASP5,3,2
ALKBH8,773,651
MAP2K5,841,1583
UNC13C,4,3
CTDSPL2,1574,2185
SLTM,4930,5389
THBS1,51148,21170
MAPKBP1,609,927
NUSAP1,5,3
NDUFAF1,443,1176
KIF23,2880,110
ITGA11,7201,3803
HAUS2,939,1230
RTF1,3609,3881
PARP6,1989,1936
RPLP1,47373,40069
LRRC49,183,339
TUBGCP4,795,686
RMDN3,3106,3145
ITPKA,19,10
UACA,4960,7471
SMAD6,1383,1001
PLCB2,259,431
TMEM62,858,836
PAK6,672,108
ADAM10,5645,4715
DUOX1,599,186
STRA6,348,22
CYP19A1,19,18
ZNF280D,648,1649
SEMA6D,106,1119
BCL2L10,18,16
RSL24D1,3008,5465
SPTBN5,481,134
GCOM1,137,442
GCHFR,4,8
BCAR3,1620,1796
TTLL7,449,1513
FNBP1L,7901,4806
GTF2B,1253,1149
BRDT,2,0
RABGGTB,1823,2333
IFI44L,3482,2762
GIPC2,13,755
ARHGAP29,8548,8588
IFI44,2579,1451
CLCA2,32,585
DNASE2B,0,0
DBT,1748,4138
RTCA,2959,1992
IFT172,2065,1621
CGREF1,3258,329
KHK,257,183
ADCY3,1316,2955
PPM1B,1187,1555
PNPT1,4355,1530
DYNC2LI1,724,917
LHCGR,0,72
THUMPD2,1320,418
CYP1B1,701,5163
SULT6B1,0,2
RAB1A,12688,9697
ACTR2,23424,16192
PREB,5291,4132
SLC5A6,30094,5200
ABCG5,3,8
PREPL,2628,4010
SLC3A1,3,4
EMILIN1,5399,2456
FBXO11,2476,2742
SIX3,78,15
ATRAID,4441,6117
CENPO,1064,128
LRPPRC,17795,12343
TRIM54,2,2
DTNB,3742,504
ACTR1A,5156,6758
CYP2C9,1,37
CYP2C8,41,22
MYOF,15890,10224
LOXL4,768,1020
STAMBPL1,284,419
CH25H,25,58
LBX1,0,0
ATAD1,1961,4091
BTBD16,7,1
KIF11,2342,226
CUZD1,1,1
TACC2,5532,5150
DUSP5,1076,696
ARL3,1153,1388
CEP55,2927,81
KIF20B,1225,423
ENTPD1,1197,1377
EXOC6,470,931
PLCE1,1037,1636
RBP4,6,34301
DBR1,1063,926
DNAJC13,3925,5549
GPR87,1,1
ANXA7,4128,7155
FAM149B1,771,1779
ASCC1,1165,1591
PLA2G12B,0,0
ZNF365,371,54
OIT3,20,0
ADAMTS14,304,9
TET1,370,255
DNA2,1014,220
MYPN,164,6
AOX1,128,7178
ATIC,4641,3485
SMARCAL1,1445,1359
BARD1,877,266
STAT4,35,474
MSTN,6,41
CARF,218,640
ASNSD1,817,1146
METTL5,1371,1442
SSB,5223,4878
NAB1,2194,3273
PPIG,3456,4706
FASTKD1,857,751
MDH1B,44,45
HECW2,948,1455
IDH1,3782,14121
OLA1,7299,4155
CIR1,1478,2797
CHRNA1,63,4
FAM117B,1530,883
WDR12,1957,1214
ABI2,2254,2554
ITGAV,20547,10133
SLC35A5,735,2109
SENP7,640,1454
GUCA1C,0,0
CCDC54,1,3
COX17,2153,929
PARP9,3900,2937
MNS1,64,185
USP8,1831,3043
TMOD3,2995,3950
SPPL2A,2293,4451
GLCE,1347,2404
SHF,274,217
APH1B,372,1770
CILP,1533,35017
PARP16,859,778
PPCDC,642,410
HCN4,39,5
SEMA7A,2285,80
UBL7,1607,1658
ARHGAP24,230,1005
FAM13A,964,15596
HERC3,3,19
HERC6,1558,930
HERC5,930,806
PCDH10,28,49
NDST4,0,0
ZGRF1,275,153
AP1AR,1102,1048
COPS4,1318,2610
HNRNPD,12741,8328
PRKG2,63,491
RASGEF1B,2058,984
SEC31A,17061,13685
FGF5,6,3
IL21,0,0
FGF2,129,5898
BBS7,623,919
BMPR1B,137,213
RAP1GDS1,2001,1970
LARP1B,849,824
MMRN1,11,2741
PDE5A,623,2016
PRDM5,96,786
TRPC3,9,24
NUP54,1692,2481
BMP2K,339,629
G3BP2,6721,6997
SEPTIN11,7052,19372
SCARB2,11577,20973
CCNG2,2466,7979
CNOT6L,1391,3766
USO1,4248,7252
CDKL2,4,57
SHROOM3,4565,1636
ANXA3,3577,2834
PPA2,2217,2656
CENPE,1711,151
GSTCD,702,518
